date,timestamp,signal,impl_corr,z_score,index_symbol,index_iv,num_components,z_signal,ml_probability,ml_signal,agreement,short_probability,strategy_used
20251217,2025-12-17T21:40:55.409245,NO_TRADE,0.258399318089504,0.030935011261901,QQQ,18.09106918972475,46,,,,,,
20251218,2025-12-18T19:07:42.056383,NO_TRADE,0.2405091175541621,-0.2206616229850471,QQQ,18.09818547621682,46,,,,,,
20251219,2025-12-19T20:20:29.493457,NO_TRADE,0.2731544939826394,0.2522596047207459,QQQ,17.395799998177985,48,,,,,,
20251219,2025-12-19T20:27:26.650755,NO_TRADE,0.2126980519534353,-0.6219929505604578,QQQ,15.932539058765682,48,,,,,,
20251219,2025-12-19T20:38:23.412013,NO_TRADE,0.2771179077188861,0.3063943693187567,QQQ,17.359785931217754,48,,,,,,
20251219,2025-12-19T20:48:45.477871,NO_TRADE,0.2944699717138129,0.5428328831997811,QQQ,17.80632906677211,47,,,,,,
20251219,2025-12-19T21:00:10.771871,NO_TRADE,0.2357151068604449,-0.3139577319476496,QQQ,16.849476359306102,24,,,,,,
20251219,2025-12-19T21:07:33.381692,NO_TRADE,0.2801508645739835,0.319015701235631,QQQ,17.53897193790148,46,,,,,,
2025-12-19,2025-12-19T21:07:35.740880,,0.2801508645739835,0.319015701235631,,,46,NO_TRADE,0.8421921914423875,SHORT_DISPERSION,DIVERGE,,
20251222,2025-12-22T22:38:36.400070,NO_SIGNAL,,,QQQ,18.05,0,,,,,,
20251222,2025-12-22T22:46:05.504333,NO_TRADE,0.2284949101831801,-0.4289814898365892,QQQ,15.32135804436596,45,,,,,,
2025-12-22,2025-12-22T22:46:07.868428,,0.2284949101831801,-0.4289814898365892,,,45,NO_TRADE,0.7876062113410123,SHORT_DISPERSION,DIVERGE,,
20251223,2025-12-23T20:47:01.571144,NO_TRADE,0.1864264420401227,-1.0341598623997683,QQQ,14.746631514238432,46,,,,,,
2025-12-23,2025-12-23T20:47:04.005356,,0.1864264420401227,-1.0341598623997683,,,46,NO_TRADE,,SHORT_DISPERSION,DIVERGE,0.7009931957425439,ML
20251224,2025-12-24T21:01:51.405488,NO_TRADE,0.2313895431653415,-0.3800286726778976,QQQ,15.071377118009252,46,,,,,,
2025-12-24,2025-12-24T21:01:53.890200,,0.2313895431653415,-0.3800286726778976,,,46,NO_TRADE,,SHORT_DISPERSION,DIVERGE,0.775346637097993,ML
20251224,2025-12-24T21:20:26.526853,NO_TRADE,0.2320876682468337,-0.3763785950793831,QQQ,15.056422751524416,46,,,,,,
20251225,2025-12-25T00:18:10.594950,NO_TRADE,0.1971371463157474,-0.8771478176090696,QQQ,15.074792772279917,36,,,,,,
20251226,2025-12-26T21:18:15.563504,NO_TRADE,0.1895964859887342,-0.9719929898947806,QQQ,15.16400995488986,46,,,,,,
2025-12-26,2025-12-26T21:18:18.299205,,0.1895964859887342,-0.9719929898947806,,,46,NO_TRADE,,SHORT_DISPERSION,DIVERGE,0.7329490315937828,ML
20251226,2025-12-26T22:57:58.518469,NO_TRADE,0.2318189659262932,-0.3620529165280188,QQQ,14.99847233530618,47,,,,,,
20251229,2025-12-29T21:09:51.668326,NO_TRADE,0.2041860509419649,-0.7577520060690465,QQQ,15.394263236497515,45,,,,,,
2025-12-29,2025-12-29T21:09:54.110353,,0.2041860509419649,-0.7577520060690465,,,45,NO_TRADE,,NO_TRADE,AGREE,0.5702107798603762,Z-SCORE
20251230,2025-12-30T20:37:50.565362,NO_TRADE,0.207747518918815,-0.7075573130360929,QQQ,15.150600683137553,46,,,,,,
2025-12-30,2025-12-30T20:37:53.462168,,0.207747518918815,-0.7075573130360929,,,46,NO_TRADE,,SHORT_DISPERSION,DIVERGE,0.6095306971811346,ML
20251230,2025-12-30T21:37:01.399952,NO_TRADE,0.2134665601479338,-0.6283801629251671,QQQ,15.292705519733,46,,,,,,
20251230,2025-12-30T21:46:07.578775,NO_TRADE,0.2155398086760667,-0.6054978547726287,QQQ,15.306086898428449,46,,,,,,
20251230,2025-12-30T23:41:57.614122,NO_TRADE,0.2209761781148252,-0.5368961623690817,QQQ,15.261516047907634,46,,,,,,
20251231,2025-12-31T23:33:56.970831,NO_TRADE,0.3209428967158327,0.8876848939947882,QQQ,18.88,36,,,,,,
2025-12-31,2025-12-31T23:33:59.668177,,0.3209428967158327,0.8876848939947882,,,36,NO_TRADE,,SHORT_DISPERSION,DIVERGE,0.7182744361003434,ML
20260102,2026-01-02T20:12:21.535951,NO_TRADE,0.2983918529860442,0.5333863436846894,QQQ,18.330342001492607,45,,,,,,
2026-01-02,2026-01-02T20:12:24.523589,,0.2983918529860442,0.5333863436846894,,,45,NO_TRADE,,SHORT_DISPERSION,DIVERGE,0.7144022498139799,ML
20260102,2026-01-02T21:53:58.099594,NO_TRADE,0.2863458078263533,0.3360558477780881,QQQ,17.444880017994052,43,,,,,,
20260105,2026-01-05T22:23:04.640243,NO_TRADE,0.2646238895371478,-0.0083171166125045,QQQ,17.868136402835525,44,,,,,,
2026-01-05,2026-01-05T22:23:07.827052,,0.2646238895371478,-0.0083171166125045,,,44,NO_TRADE,,SHORT_DISPERSION,DIVERGE,0.662496311017017,ML
20260106,2026-01-06T22:32:40.641063,NO_TRADE,0.2051923244143905,-0.9275555987250484,QQQ,16.31299887646497,48,,,,,,
2026-01-06,2026-01-06T22:32:43.325882,,0.2051923244143905,-0.9275555987250484,,,48,NO_TRADE,,NO_TRADE,AGREE,0.5060390419328588,Z-SCORE
20260107,2026-01-07T19:56:30.356704,NO_TRADE,0.1892584830434549,-1.1444266118622832,QQQ,16.873455194531466,44,,,,,,
2026-01-07,2026-01-07T19:56:33.041569,,0.1892584830434549,-1.1444266118622832,,,44,NO_TRADE,,NO_TRADE,AGREE,0.4124450897980912,Z-SCORE
20260108,2026-01-08T20:08:19.446412,NO_TRADE,0.2079378467955683,-0.8535463690891109,QQQ,16.55877206845899,46,,,,,,
20260108,2026-01-08T20:24:37.437654,NO_TRADE,0.1980932177123538,-0.9933884512162008,QQQ,17.758995579405106,47,,,,,,
2026-01-08,2026-01-08T20:24:39.734539,,0.1980932177123538,-0.9933884512162008,,,47,NO_TRADE,,NO_TRADE,AGREE,0.4501026217870832,Z-SCORE
20260108,2026-01-08T21:14:45.572864,NO_TRADE,0.19525109824259115,-1.0246456321547968,QQQ,17.65480502346571,47,,,,,,
